Organization Name,Main Category,Subcategories,Membership Duration
Digital Law,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Special Interest, Political/Activist, Computer/Technology",Lifetime
Disability Services,University Life,"Department, University Life",Lifetime
Disciples on Campus,Registered Student Organizations,Religious/Spiritual,Lifetime
Diverse Hearts of Nursing,Registered Student Organizations,"International/Multicultural, Health/Wellness, Department",Lifetime
Doctoral Public Health Graduate Student Association,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Doctors Without Borders Student Chapter at George Mason University,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Lifetime
Dungeons and Dragons,Registered Student Organizations,Special Interest,Lifetime
Early Identification Program (EIP),University Life,"Department, University Life",Lifetime
Earthwise Initiative: Environmental Education Association at George Mason University (MEIEA),Registered Student Organizations,"International/Multicultural, Volunteer/Service",Lifetime
EDSE Council,Registered Student Organizations,"Academic, Special Interest, Department",Lifetime
Educators Rising Collegiate: Powered by Aspiring Educators,Registered Student Organizations,Academic,Lifetime
Egyptian Student Union,Registered Student Organizations,International/Multicultural,Lifetime
Election and Disputes Commission,Campus-Wide Organizations,Student Government,Lifetime
Electrical and Computer Engineering Club,Registered Student Organizations,STEM,Lifetime
Elementary Education Program,Academic Departments,"Academic, Department",Lifetime
Emergency Medical Services Club,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest",Lifetime
Engineer's for International Development,Registered Student Organizations,"Academic, International/Multicultural, STEM, Volunteer/Service",Lifetime
Enrichment for Clinical Psychology Students,Registered Student Organizations,Graduate Student Organization,Lifetime
Environmental Science and Policy,Academic Departments,"Academic, Department",Lifetime
Environmental Science and Policy Graduate Student Association,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Eritrean-Ethiopian Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Ethiopian Orthodox Tewahedo Church Campus Ministry,Registered Student Organizations,"Religious/Spiritual, Volunteer/Service",Lifetime
European Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Every Nation Campus,Registered Student Organizations,"International/Multicultural, Religious/Spiritual, Health/Wellness",Lifetime
Exercise Promotion Student Society,Registered Student Organizations,"Academic, Health/Wellness",Lifetime
Exploratory Academic Advising,Academic Departments,Academic,Lifetime
F1rst Gen @ George Mason University,Registered Student Organizations,Academic,Lifetime
Facilities and Campus Operations,Mason Centers/Affiliates,Department,Lifetime
Fashion in Technology,Registered Student Organizations,"Academic, STEM, Special Interest, Performing/Visual Arts, Campus Spirit, Computer/Technology",Lifetime
Fashion Society,Registered Student Organizations,Special Interest,Lifetime
